"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Fault Diagnosis of Harmonic Drive With Imbalanced Data Using Generative Adversarial Network","G. Yang; Y. Zhong; L. Yang; H. Tao; J. Li; R. Du","Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China; Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China; Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China; Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China; School of Mechanical and Automotive Engineering, Zhaoqing University, Zhaoqing, China; Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China","IEEE Transactions on Instrumentation and Measurement","25 Jun 2021","2021","70","","1","11","Harmonic drive is the core component of the industrial robot, and its fault diagnosis is crucial to the reliability and performance of the equipment. Most machine learning methods achieve good results based on the assumption of data balance. However, the scarce fault data of harmonic drive is difficult to collect, resulting in various imbalanced health status samples, which has an adverse effect on fault diagnosis. In this article, we propose a data generation method based on generative adversarial networks (GANs) to solve the problem of data imbalance and utilize the multiscale convolutional neural network (MSCNN) to realize the fault diagnosis of the harmonic drive. First, the data collected from three vibration acceleration sensors are preprocessed by fast Fourier transform (FFT) to obtain the frequency spectrum of the vibration signal. Second, multiple GANs were adopted to generate various fault spectrum data and the data selection module (DSM) is elaborately designed to filter and purify these data. Third, the filtered generated data will be combined with the real data to form a balanced dataset, and then the MSCNN is used to achieve multiclassification of the health status of the harmonic drive. Finally, the experiments have been implemented on an industrial robot vibration test bench to validate the effectiveness of our approach. The results have shown the fault multiclassification accuracy as 98.49% under imbalanced fault data conditions, which outperforms that of the other compared methods.","1557-9662","","10.1109/TIM.2021.3089240","Strategic Priority Research Program of the Chinese Academy of Sciences (Class A)(grant numbers:XDA22040203); Opening Project of National and Local Joint Engineering Research Center for Industrial Friction and Lubrication Technology(grant numbers:2021-GD-0005); Natural Science Foundation of Guangdong Province(grant numbers:2020A1515010621); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9454583","Data selection module (DSM);fault diagnosis;generative adversarial network (GAN);harmonic drive;imbalanced data;multiscale convolutional neural network (MSCNN)","Harmonic analysis;Power harmonic filters;Fault diagnosis;Vibrations;Generative adversarial networks;Training;Splines (mathematics)","fast Fourier transforms;fault diagnosis;feature extraction;learning (artificial intelligence);neural nets;pattern classification;vibrations","fault diagnosis;harmonic drive;imbalanced data;generative adversarial network;data balance;scarce fault data;imbalanced health status samples;data generation method;data imbalance;multiscale convolutional neural network;fault spectrum data;data selection module;filtered generated data;industrial robot vibration test bench;fault multiclassification accuracy;imbalanced fault data conditions","","","","31","IEEE","14 Jun 2021","","","IEEE","IEEE Journals"
"Simplified Sensorless Torque Estimation Method for Harmonic Drive Based Electro-Mechanical Actuator","M. A. A. Ismail; J. Windelberg; G. Liu","DLR German Aerospace Center, Institute of Flight Systems, Braunschweig, Germany; DLR German Aerospace Center, Institute of Flight Systems, Braunschweig, Germany; Department of Aerospace Engineering, Ryerson University, Toronto, ON, Canada","IEEE Robotics and Automation Letters","1 Feb 2021","2021","6","2","835","840","Torque measurements can significantly enhance control and monitoring loops for many mechatronic and aerospace applications. A typical challenge is to justify incorporating a torque sensor in terms of cost, system complexity, and reliability. Recently, sensorless torque estimation methods have been developed for robotic joints that include harmonic drive transmissions (HDTs). The principle is based on their relatively low torsional stiffness, which allows for estimating the transmitted torque by measuring the torsional angles (via existing joint encoders) and a compliance model. However, these methods are based on nonlinear models that are difficult to identify and tune. In this study, a simplified torque estimation method is introduced based on the structural damping friction of the HDTs. The structural damping can be correlated to the HDT torque using a simplified linear dynamic model and torsional rate measurements. Experimental results have validated the proposed method, using a robotic joint setup with an external torque sensor that has been previously utilized for testing several torque estimation methods.","2377-3766","","10.1109/LRA.2021.3052392","German National Aerospace Research Program; Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9326333","Robot;joint torque estimation;harmonic drive;electro-mechanical actuator","Torque;Robot sensing systems;Estimation;Strain;Generators;Damping;Torque measurement","angular measurement;damping;drives;electromechanical actuators;friction;industrial robots;torque control;torque measurement;torsion","harmonic drive based electro-mechanical actuator;torque measurements;mechatronic applications;aerospace applications;sensorless torque estimation methods;robotic joints;harmonic drive transmissions;HDT;low torsional stiffness;compliance model;nonlinear models;structural damping friction;linear dynamic model;torque sensor;torsional angles measurement","","2","","12","IEEE","18 Jan 2021","","","IEEE","IEEE Journals"
"Fault Detection of Harmonic Drive Using Multiscale Convolutional Neural Network","G. Yang; Y. Zhong; L. Yang; R. Du","Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China; Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China; Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China; Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China","IEEE Transactions on Instrumentation and Measurement","18 Nov 2020","2021","70","","1","11","Harmonic drive is a key component in industry robot. Its complex design is highly sensitive to the manufacturing and assembly errors. Even a small error could cause excessive vibration jeopardizing the performance of the robot. Moreover, the vibration is dependent on the operation conditions. As a result, it is necessary to carry out a comprehensive test to detect possible manufacturing and assembling faults. This article presents an intelligent approach that can automatically identify different health conditions of harmonic drives. First, the acquired data from multiple acceleration sensors are cascaded in sequence after several preprocessing steps. Then, the multiscale convolutional neural network (MSCNN) architecture is used for disposing the inherent multiscale characteristics of the harmonic drive vibration signal, which can simultaneously perform multiscale feature extraction and classification. Finally, a large number of experiments were conducted on a real industrial robot vibration test platform to evaluate our approach. Based on the experiment results, the fault detection classification accuracy is 96.79%, which is higher than the other compared methods. This demonstrates that the presented method is effective for shop floor applications.","1557-9662","","10.1109/TIM.2020.3024355","Strategic Priority Research Program of the Chinese Academy of Sciences (Class A)(grant numbers:XDA22040203); Fundamental Research Funds for the Central Universities(grant numbers:2019XX01); Guangdong Marine Economic Development Project (2020); Natural Science Foundation of Guangdong Province(grant numbers:2020A1515010621); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9198915","Harmonic drive;intelligent fault detection;multiple working conditions;multiscale convolutional neural network (MSCNN)","Vibrations;Harmonic analysis;Fault detection;Feature extraction;Service robots;Acceleration","convolutional neural nets;drives;fault diagnosis;feature extraction;industrial robots;vibrational signal processing;vibrations","industry robot;complex design;assembly errors;excessive vibration;operation conditions;assembling faults;health conditions;multiscale convolutional neural network architecture;multiscale characteristics;harmonic drive vibration signal;multiscale feature extraction;industrial robot vibration test platform;fault detection classification accuracy","","1","","28","IEEE","16 Sep 2020","","","IEEE","IEEE Journals"
"Automated Analysis of Meshing Performance of Harmonic Drive Gears Under Various Operating Conditions","D. Ma; R. Wang; P. Rao; R. Sui; S. Yan","Department of Mechanical Engineering, State Key Laboratory of Tribology, Tsinghua University, Beijing, China; Department of Mechanical Engineering, State Key Laboratory of Tribology, Tsinghua University, Beijing, China; Department of Mechanical Engineering, State Key Laboratory of Tribology, Tsinghua University, Beijing, China; Department of Mechanical Engineering, State Key Laboratory of Tribology, Tsinghua University, Beijing, China; Department of Mechanical Engineering, State Key Laboratory of Tribology, Tsinghua University, Beijing, China","IEEE Access","28 Nov 2018","2018","6","","68137","68154","Accurate and efficient analysis of the meshing performance of harmonic drives (HDs) is the core and challenging problem for the improvement of the positioning accuracy of robots. This paper presents an integrated hardware and software system for an automated analysis of the meshing performance of the HD under various operating conditions. First, an optical measurement method based on the principle of periscope is proposed to capture the meshing images at a different driving speed and load torque. Next, a position tracking algorithm based on image processing and pattern recognition is designed to obtain the positions of the flexspline and circular spline teeth in the meshing process. Furthermore, a mathematical model based on the geometric relationship between the flexspline and the circular spline teeth is established to calculate the meshing backlash and depth. Last, the performance and advantages of the proposed method are demonstrated through uncertainty analysis and comparing with the conventional method. The results show that the error of the calculated meshing parameters is close to 0, and 1.59 s are required to track the FS teeth in each video frame with a laptop of 2.6-GHz CPU and 12-GB RAM. Moreover, the total rotation angle of the wave generator and the backlash and depth in the meshing process are seriously affected by the driving speed and load torque. Our method offers an effective tool for the HD manufacturers to examine the quality of products, and the obtained results can help to optimize the tooth profile of the HD.","2169-3536","","10.1109/ACCESS.2018.2872797","Natural Science Foundation of Beijing Municipality(grant numbers:3172017); National Natural Science Foundation of China(grant numbers:11872033,11272171); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8478177","Harmonic drive gear;meshing performance;operating condition;computer vision;pattern recognition","Strain;Gears;Optical variables measurement;Kinematics;Harmonic analysis;Torque;Pattern recognition","","","","5","","55","OAPA","30 Sep 2018","","","IEEE","IEEE Journals"
"Joint Torque Sensor Embedded in Harmonic Drive Using Order Tracking Method for Robotic Application","B. -j. Jung; B. Kim; J. C. Koo; H. R. Choi; H. Moon","Department of Mechanical Engineering, Sunkyunkwan University, Suwon, South Korea; Psylogic Inc., Yongin, South Korea; Department of Mechanical Engineering, Sunkyunkwan University, Suwon, South Korea; Department of Mechanical Engineering, Sunkyunkwan University, Suwon, South Korea; Department of Mechanical Engineering, Sunkyunkwan University, Suwon, South Korea","IEEE/ASME Transactions on Mechatronics","14 Aug 2017","2017","22","4","1594","1599","The main contribution of this work is the low-cost joint torque measurement method using harmonic drive characteristics. To measure the external torque, we use the strain measurement of the flexspline of the harmonic drive. The flexspline of the harmonic drive is deformed by the external torque, as well as by the velocity reducing operation, which creates torque ripple on the strain signal from the flexspline. As the frequency characteristics of such torque ripple are strongly related to the joint speed, an order tracking technique is used to compensate the torque ripple. The resampling-based order tracking data acquisition is used to rearrange the torque ripple signal into the order signal, which has independent frequency characteristic to the joint speed. Then, a simple notch filter easily cancels the torque ripple from the rearranged signal. Our algorithm switches the signal source between the order tracking and the conventional time sampling to overcome the zero velocity condition. To overcome the lack of order information at low velocity, we propose a back propagation method using trained order sampling data. The developed joint torque sensing method is applied to the harmonic drive reducer of a robot manipulator's joint and is experimentally evaluated for the torque measurement during the motion of 5th order polynomial trajectory following.","1941-014X","","10.1109/TMECH.2017.2694039","Ministry of Trade and Energy (MOTIE); Korea Evaluation Institute of Industrial Technology (KEIT)(grant numbers:10040210); National Research Foundation of Korea; Korea Government (MSIP)(grant numbers:2016R1A2B4010880); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7898807","Filtering;notch filters;robot sensing systems;torque measurement","Torque;Strain;Robot sensing systems;Harmonic analysis;Torque measurement","backpropagation;compensation;data acquisition;manipulators;notch filters;sensors;signal sampling;strain measurement;torque control;torque measurement;trajectory control;velocity control","joint torque sensor;order tracking method;robotic application;low-cost joint torque measurement method;harmonic drive characteristics;external torque;strain measurement;flexspline;velocity reducing operation;strain signal;resampling-based order tracking data acquisition;torque ripple signal;zero velocity condition;back propagation;harmonic drive reducer;robot manipulator joint;5th order polynomial trajectory following","","24","","23","IEEE","13 Apr 2017","","","IEEE","IEEE Journals"
"Torque Estimation for Robotic Joint With Harmonic Drive Transmission Based on Position Measurements","H. Zhang; S. Ahmad; G. Liu","Department of Aerospace Engineering, Ryerson University, Toronto, ON, Canada; Department of Aerospace Engineering, Ryerson University, Toronto, ON, Canada; Department of Aerospace Engineering, Ryerson University, Toronto, ON, Canada","IEEE Transactions on Robotics","19 May 2017","2015","31","2","322","330","Joint torque sensory feedback is an effective technique for achieving high-performance robot force and motion control. However, most robots are not equipped with joint torque sensors, and it is difficult to add them without changing the joint's mechanical structure. A method for estimating joint torque that exploits the existing structural elasticity of robotic joints with harmonic drive transmission is proposed in this paper. In the presented joint torque estimation method, motor-side and link-side position measurements along with a proposed harmonic drive compliance model, are used to realize stiff and sensitive joint torque estimation, without the need for adding an additional elastic body and using strain gauges to measure the joint torque. The proposed method has been experimentally studied and its performance is compared with measurements of a commercial torque sensor. The results have attested the effectiveness of the proposed torque estimation method.","1941-0468","","10.1109/TRO.2015.2402511","Natural Sciences and Engineering Research Council; Canada Research Chair program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7054560","Harmonic drive transmission;joint torque estimation;torque control;Harmonic drive transmission;joint torque estimation;torque control","Torque;Harmonic analysis;Joints;Kinematics;Generators;Robot sensing systems;Estimation","drives;elasticity;force control;motion control;position control;position measurement;power transmission (mechanical);robots;sensors;strain gauges;torque control;torque measurement","joint torque sensory feedback;high-performance robot force control;robot motion control;joint mechanical structure;structural elasticity;robotic joints;harmonic drive transmission;joint torque estimation method;motor-side position measurements;link-side position measurements;harmonic drive compliance model;elastic body;strain gauges;joint torque measurement","","48","1","30","IEEE","4 Mar 2015","","","IEEE","IEEE Journals"
"Modeling of Torsional Compliance and Hysteresis Behaviors in Harmonic Drives","H. Zhang; S. Ahmad; G. Liu","Department of Aerospace Engineering , Ryerson University, Toronto, Canada; Department of Aerospace Engineering , Ryerson University, Toronto, Canada; Department of Aerospace Engineering , Ryerson University, Toronto, Canada","IEEE/ASME Transactions on Mechatronics","3 Oct 2014","2015","20","1","178","185","Nonlinear torsional compliance and hysteresis are associated with harmonic drives, and their accurate modeling is crucial for improving performance of the control system of harmonic drive-based devices such as robot joints. In this paper, a new approach is taken to model the torsional compliance and hysteresis behavior in harmonic drives. The proposed model is derived by modeling the compliance behavior of the flexspline and the wave generator instead of modeling the individual behaviors of the overall harmonic drive transmission. The hysteresis loss is captured by taking the wave generator torsional compliance into account. The proposed model is validated through numerical simulations and subsequently with experimental data.","1941-014X","","10.1109/TMECH.2014.2311382","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6782417","Compliance;harmonic drive;hysteresis;modeling;robot joint","Harmonic analysis;Generators;Hysteresis;Torque;Mathematical model;Springs;Friction","drives;hysteresis;numerical analysis;power transmission (mechanical);torsion","hysteresis behavior;nonlinear torsional compliance;robot joints;flexspline;wave generator;harmonic drive transmission;numerical simulations","","44","","27","IEEE","2 Apr 2014","","","IEEE","IEEE Journals"
"Adaptive Control of Harmonic Drives Based on Virtual Decomposition","W. -. Zhu; E. Dupuis; M. Doyon; J. -. Piedboeuf",Canadian Space Agency; Canadian Space Agency; Canadian Space Agency; NA,"IEEE/ASME Transactions on Mechatronics","16 Oct 2006","2006","11","5","604","614","Harmonic drives are interesting for robotic applications due to their attractive properties such as high reduction ratio, compact size, low mass, and coaxial assembly. However, the high friction and the dynamics of the flexspline are the main issues that significantly challenge the control systems. In this paper, an adaptive controller capable of adaptively compensating the friction, while incorporating the dynamics of the flexspline, is developed in both joint torque and joint-position control modes. The virtual decomposition control approach allows the dynamics of harmonic drives to be controlled separately from the conventional dynamics of the robots. Adaptive friction compensation and flexspline dynamics based control are the two main contributions of this paper. The L<sub>2</sub>/L<sub>infin</sub> stability and the L <sub>2</sub>-gain-induced H<sub>infin</sub> stability are guaranteed. Experimental results demonstrated in both time and frequency domains confirm the feasibility of the proposed approach","1941-014X","","10.1109/TMECH.2006.882992","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1709866","Adaptive control;harmonic drives;motion control;precision control systems;torque control;virtual decomposition control","Adaptive control;Friction;Robotic assembly;Programmable control;Torque control;Stability;Coaxial components;Control systems;Robots;Frequency domain analysis","adaptive control;drives;friction;Hinfin control;position control;robot dynamics;stability;torque control","adaptive control;harmonic drives;virtual decomposition control;robotic;friction compensation;joint torque control;joint-position control;flexspline dynamics;Hinfin stability","","16","","24","","16 Oct 2006","","","IEEE","IEEE Journals"
"Modeling and control of the Mitsubishi PA-10 robot arm harmonic drive system","C. W. Kennedy; J. P. Desai","Program for Robotics, Intelligent Sensing, & Mechatronics, Drexel Univ., Philadelphia, PA, USA; Program for Robotics, Intelligent Sensing, & Mechatronics, Drexel Univ., Philadelphia, PA, USA","IEEE/ASME Transactions on Mechatronics","5 Jul 2005","2005","10","3","263","274","The purpose of this paper is to present our results in developing a dynamic model of the Mitsubishi PA-10 robot arm for the purpose of low-velocity trajectory tracking using low-feedback gains. The PA-10 is ideal for precise manipulation tasks because of the backdrivability, precise positioning capabilities, and zero backlash afforded by its harmonic drive transmission (HDT). However, the compliance and oscillations inherent in harmonic drive systems, and the lack of any technical information on the internal dynamics of the transmission, make the development of an accurate dynamic model of the robot extremely challenging. The novelty of this research is therefore the development of a systematic algorithm to extract the model parameters of a harmonic drive transmission in the robot arm to facilitate model-based control. We have modeled all seven joints of the Mitsubishi PA-10, and we have done several experiments to identify the various parameters of the harmonic drive system. We conclude with a sample trajectory-tracking task that demonstrates our model-based controller for the Mitsubishi PA-10 robot arm.","1941-014X","","10.1109/TMECH.2005.848290","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1461403","Harmonic drive transmission;Mitsubishi PA-10;model-based control","Manipulator dynamics;Trajectory;Hysteresis motors;Friction;Robot sensing systems;Intelligent robots;Mechatronics;Shafts;Associate members;Data mining","manipulator dynamics;feedback;position control","Mitsubishi PA-10 robot arm;low velocity trajectory tracking;harmonic drive transmission;model based control;internal dynamics","","88","","22","","5 Jul 2005","","","IEEE","IEEE Journals"
"Closed-loop compensation of kinematic error in harmonic drives for precision control applications","P. S. Gandhi; F. H. Ghorbel","Dept. of Mech. Eng., Indian Inst. of Technol., Bombay, India; NA","IEEE Transactions on Control Systems Technology","10 Dec 2002","2002","10","6","759","768","We present nonlinear control algorithms to compensate for kinematic error in harmonic drives, thus forming a solid basis to improve their performance in precision positioning applications. Kinematic error, defined as deviation between expected and actual output positions, influences performance by producing static positioning error and inducing dynamic vibration effects. Its compensation is difficult because of its nonlinear behavior and dependence on drive type, assembly, environmental conditions, and drive load. The Lyapunov-based closed-loop control algorithms presented in this paper compensate for the kinematic error irrespective of its form in setpoint and trajectory tracking applications. Simulation and experimental results obtained with a dedicated harmonic drive test setup verify the effectiveness of the proposed controllers.","1558-0865","","10.1109/TCST.2002.804119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1058047","","Kinematics;Error correction;Gears;Teeth;Spline;Assembly;Shafts;Service robots;Orbital robotics;Steel","position control;error compensation;drives;kinematics;servomotors;nonlinear control systems","closed-loop compensation;kinematic error;harmonic drives;precision control applications;nonlinear control algorithms;precision positioning;dynamic vibration effects;nonlinear behavior;Lyapunov-based closed-loop control algorithms;setpoint tracking;trajectory","","57","","26","","10 Dec 2002","","","IEEE","IEEE Journals"
